Description,Inside/Outside,Weapon,Latitude,Longitude,HourBin,cluster
COMMON ASSAULT,Inside,HANDS,39.30294,-76.63386,Evening,8
AGG. ASSAULT,Inside,KNIFE,39.30548,-76.64362,Evening,12
COMMON ASSAULT,Inside,HANDS,39.32074,-76.56522,Evening,8
COMMON ASSAULT,Inside,HANDS,39.3214,-76.56856,Evening,8
COMMON ASSAULT,Inside,HANDS,39.34553,-76.56367,Evening,8
ROBBERY - STREET,Outside,OTHER,39.31545,-76.68735,Evening,-1
ROBBERY - CARJACKING,Outside,KNIFE,39.2543,-76.6516,Night,-1
COMMON ASSAULT,Inside,HANDS,39.34306,-76.59479,Night,0
COMMON ASSAULT,Inside,HANDS,39.29536,-76.64012,Night,0
AGG. ASSAULT,Outside,KNIFE,39.2991,-76.56033,Night,4
COMMON ASSAULT,Outside,HANDS,39.3028,-76.61436,Morning,13
COMMON ASSAULT,Inside,HANDS,39.31039,-76.60236,Morning,1
AGG. ASSAULT,Inside,KNIFE,39.33616,-76.70622,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.29921,-76.60015,Morning,14
ROBBERY - CARJACKING,Outside,FIREARM,39.28962,-76.65299,Morning,-1
AGG. ASSAULT,Inside,KNIFE,39.29164,-76.5605,Morning,-1
AGG. ASSAULT,Outside,FIREARM,39.29112,-76.63072,Morning,-1
AGG. ASSAULT,Outside,FIREARM,39.29112,-76.63072,Morning,-1
AGG. ASSAULT,Outside,HANDS,39.2932,-76.60817,Morning,-1
AGG. ASSAULT,Inside,OTHER,39.30023,-76.57952,Morning,15
ROBBERY - RESIDENCE,Inside,FIREARM,39.31497,-76.63843,Afternoon,-1
ROBBERY - STREET,Outside,FIREARM,39.30362,-76.67372,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.32081,-76.62574,Afternoon,7
AGG. ASSAULT,Outside,OTHER,39.29798,-76.6317,Afternoon,16
AGG. ASSAULT,Outside,OTHER,39.28676,-76.56335,Afternoon,16
COMMON ASSAULT,Outside,HANDS,39.26879,-76.65109,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.33278,-76.60564,Afternoon,5
AGG. ASSAULT,Outside,OTHER,39.34712,-76.60966,Afternoon,16
AGG. ASSAULT,Outside,OTHER,39.22768,-76.5988,Afternoon,83
COMMON ASSAULT,Inside,HANDS,39.28675,-76.56315,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.28622,-76.62239,Afternoon,7
AGG. ASSAULT,Outside,FIREARM,39.23178,-76.59235,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.29536,-76.64012,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.32464,-76.58837,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.345,-76.5886,Evening,8
COMMON ASSAULT,Inside,HANDS,39.3296,-76.65914,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.30675,-76.58838,Evening,9
AGG. ASSAULT,Inside,HANDS,39.35952,-76.58856,Evening,-1
AGG. ASSAULT,Outside,KNIFE,39.28657,-76.611,Evening,17
AGG. ASSAULT,Inside,OTHER,39.34466,-76.67068,Evening,18
AGG. ASSAULT,Inside,FIREARM,39.22918,-76.6002,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.31424,-76.61675,Evening,9
COMMON ASSAULT,Inside,HANDS,39.3629,-76.55037,Evening,8
AGG. ASSAULT,Inside,OTHER,39.30533,-76.57418,Evening,18
AGG. ASSAULT,Inside,HANDS,39.30533,-76.57418,Evening,19
COMMON ASSAULT,Inside,HANDS,39.26243,-76.6333,Evening,8
AGG. ASSAULT,Outside,KNIFE,39.33171,-76.53373,Evening,-1
ROBBERY - COMMERCIAL,Inside,KNIFE,39.32829,-76.60813,Evening,-1
ROBBERY - STREET,Outside,OTHER,39.2919,-76.57016,Evening,34
COMMON ASSAULT,Outside,HANDS,39.2919,-76.57016,Evening,11
AGG. ASSAULT,Outside,FIREARM,39.33096,-76.69447,Evening,21
COMMON ASSAULT,Inside,HANDS,39.29883,-76.61042,Night,0
ROBBERY - COMMERCIAL,Outside,FIREARM,39.35344,-76.56043,Night,-1
ROBBERY - STREET,Outside,FIREARM,39.33193,-76.54038,Morning,-1
AGG. ASSAULT,Outside,OTHER,39.34578,-76.58619,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.32232,-76.5687,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.28184,-76.63,Afternoon,7
AGG. ASSAULT,Inside,OTHER,39.23025,-76.60038,Afternoon,20
ROBBERY - RESIDENCE,Inside,FIREARM,39.31283,-76.66243,Afternoon,-1
ROBBERY - STREET,Outside,FIREARM,39.28695,-76.6042,Afternoon,6
COMMON ASSAULT,Outside,HANDS,39.29452,-76.57874,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.29452,-76.57874,Afternoon,5
ROBBERY - RESIDENCE,Inside,FIREARM,39.29848,-76.655,Evening,-1
AGG. ASSAULT,Outside,FIREARM,39.29731,-76.6206,Evening,21
COMMON ASSAULT,Inside,HANDS,39.32513,-76.68821,Evening,8
AGG. ASSAULT,Outside,HANDS,39.29878,-76.58321,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.30482,-76.58017,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.34906,-76.65981,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.34906,-76.65981,Evening,9
AGG. ASSAULT,Inside,KNIFE,39.31246,-76.61803,Evening,12
ROBBERY - STREET,Outside,FIREARM,39.34707,-76.65817,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.34707,-76.65817,Evening,9
COMMON ASSAULT,Inside,HANDS,39.33219,-76.54486,Evening,8
ROBBERY - CARJACKING,Outside,FIREARM,39.35535,-76.5738,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.23824,-76.60069,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.35776,-76.58215,Evening,9
COMMON ASSAULT,Inside,HANDS,39.30677,-76.6549,Night,0
ROBBERY - STREET,Outside,OTHER,39.3101,-76.62404,Night,69
COMMON ASSAULT,Inside,HANDS,39.31461,-76.64648,Night,0
AGG. ASSAULT,Inside,FIREARM,39.31023,-76.58299,Night,-1
AGG. ASSAULT,Outside,KNIFE,39.29298,-76.62119,Night,4
COMMON ASSAULT,Inside,HANDS,39.26157,-76.66657,Night,0
COMMON ASSAULT,Inside,HANDS,39.24344,-76.62641,Night,0
COMMON ASSAULT,Inside,HANDS,39.29376,-76.6136,Night,0
COMMON ASSAULT,Inside,HANDS,39.37086,-76.56494,Morning,1
COMMON ASSAULT,Inside,HANDS,39.29044,-76.59127,Morning,1
ROBBERY - STREET,Outside,FIREARM,39.2867,-76.59147,Morning,14
AGG. ASSAULT,Outside,FIREARM,39.2867,-76.59147,Morning,-1
ROBBERY - RESIDENCE,Inside,OTHER,39.28347,-76.64206,Morning,-1
AGG. ASSAULT,Inside,OTHER,39.28891,-76.56921,Afternoon,22
COMMON ASSAULT,Outside,HANDS,39.29896,-76.64023,Afternoon,5
ROBBERY - COMMERCIAL,Inside,OTHER,39.27515,-76.62403,Afternoon,-1
ROBBERY - STREET,Outside,OTHER,39.30173,-76.59782,Afternoon,-1
AGG. ASSAULT,Outside,KNIFE,39.23696,-76.60848,Afternoon,-1
AGG. ASSAULT,Outside,KNIFE,39.23696,-76.60848,Afternoon,-1
ROBBERY - STREET,Outside,FIREARM,39.29406,-76.61823,Afternoon,6
ROBBERY - COMMERCIAL,Inside,FIREARM,39.28446,-76.59631,Afternoon,64
AGG. ASSAULT,Inside,KNIFE,39.28838,-76.64145,Afternoon,23
ROBBERY - STREET,Outside,KNIFE,39.31149,-76.60888,Afternoon,39
COMMON ASSAULT,Outside,HANDS,39.3059,-76.66734,Afternoon,5
ROBBERY - STREET,Outside,FIREARM,39.3015,-76.60354,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.34537,-76.59506,Afternoon,7
ROBBERY - COMMERCIAL,Inside,FIREARM,39.30878,-76.62557,Afternoon,59
COMMON ASSAULT,Outside,HANDS,39.34021,-76.59093,Evening,11
AGG. ASSAULT,Inside,FIREARM,39.27983,-76.66656,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.29768,-76.58786,Evening,8
AGG. ASSAULT,Outside,HANDS,39.31148,-76.58453,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.32207,-76.56944,Evening,8
AGG. ASSAULT,Inside,FIREARM,39.3055,-76.64062,Evening,24
AGG. ASSAULT,Inside,FIREARM,39.32027,-76.67559,Evening,-1
AGG. ASSAULT,Inside,FIREARM,39.32027,-76.67559,Evening,-1
AGG. ASSAULT,Inside,FIREARM,39.32027,-76.67559,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.23458,-76.59662,Evening,8
AGG. ASSAULT,Outside,FIREARM,39.31089,-76.63438,Evening,21
AGG. ASSAULT,Outside,FIREARM,39.29529,-76.59129,Evening,21
AGG. ASSAULT,Outside,FIREARM,39.29529,-76.59129,Evening,21
AGG. ASSAULT,Inside,HANDS,39.31645,-76.61687,Evening,19
AGG. ASSAULT,Inside,HANDS,39.33141,-76.55873,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.30602,-76.63203,Night,0
COMMON ASSAULT,Inside,HANDS,39.30895,-76.6551,Night,0
COMMON ASSAULT,Inside,HANDS,39.30515,-76.66813,Night,0
COMMON ASSAULT,Inside,HANDS,39.29104,-76.63825,Morning,1
COMMON ASSAULT,Outside,HANDS,39.28511,-76.6486,Morning,13
COMMON ASSAULT,Inside,HANDS,39.3255,-76.60618,Morning,1
COMMON ASSAULT,Inside,HANDS,39.28505,-76.63861,Morning,1
AGG. ASSAULT,Inside,OTHER,39.29106,-76.63245,Afternoon,22
AGG. ASSAULT,Outside,OTHER,39.31665,-76.59543,Afternoon,16
ROBBERY - STREET,Outside,FIREARM,39.28633,-76.64374,Afternoon,6
AGG. ASSAULT,Inside,KNIFE,39.30287,-76.66721,Afternoon,23
COMMON ASSAULT,Outside,HANDS,39.25555,-76.64276,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.25555,-76.64276,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.28862,-76.63674,Afternoon,5
ROBBERY - STREET,Outside,FIREARM,39.35448,-76.66237,Afternoon,6
AGG. ASSAULT,Inside,OTHER,39.35426,-76.59933,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.26703,-76.65112,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.31592,-76.57672,Afternoon,7
AGG. ASSAULT,Inside,OTHER,39.31279,-76.62968,Evening,18
ROBBERY - STREET,Outside,OTHER,39.27871,-76.66349,Evening,-1
ROBBERY - CARJACKING,Inside,OTHER,39.36474,-76.58482,Evening,-1
AGG. ASSAULT,Outside,FIREARM,39.28527,-76.6451,Evening,21
COMMON ASSAULT,Outside,HANDS,39.32215,-76.60946,Evening,11
AGG. ASSAULT,Outside,OTHER,39.2987,-76.58651,Morning,25
COMMON ASSAULT,Inside,HANDS,39.3108,-76.65106,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30145,-76.58108,Morning,1
COMMON ASSAULT,Outside,HANDS,39.28066,-76.63538,Night,26
ROBBERY - STREET,Outside,FIREARM,39.31582,-76.6292,Night,2
COMMON ASSAULT,Inside,HANDS,39.30384,-76.57934,Night,0
ROBBERY - STREET,Outside,KNIFE,39.34643,-76.6708,Night,-1
ROBBERY - STREET,Outside,KNIFE,39.28862,-76.63674,Night,-1
AGG. ASSAULT,Outside,KNIFE,39.27931,-76.63643,Night,4
ROBBERY - STREET,Outside,FIREARM,39.32589,-76.67059,Night,2
ROBBERY - STREET,Outside,FIREARM,39.32884,-76.66919,Night,2
ROBBERY - STREET,Outside,OTHER,39.32928,-76.67753,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.3329,-76.67022,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.3329,-76.67022,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.30495,-76.5882,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30495,-76.5882,Morning,1
ROBBERY - STREET,Outside,FIREARM,39.29348,-76.57772,Afternoon,6
ROBBERY - STREET,Outside,FIREARM,39.29348,-76.57772,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.35022,-76.68925,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.36647,-76.6196,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.33699,-76.6682,Afternoon,7
AGG. ASSAULT,Inside,KNIFE,39.29545,-76.57344,Afternoon,23
AGG. ASSAULT,Inside,OTHER,39.2935,-76.69266,Afternoon,22
ROBBERY - STREET,Outside,KNIFE,39.30416,-76.6261,Evening,27
AGG. ASSAULT,Outside,KNIFE,39.35084,-76.6725,Evening,38
COMMON ASSAULT,Inside,HANDS,39.3,-76.57898,Evening,8
AGG. ASSAULT,Outside,HANDS,39.28646,-76.59349,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.27293,-76.67423,Evening,8
COMMON ASSAULT,Outside,HANDS,39.31868,-76.65399,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.32854,-76.60847,Evening,9
ROBBERY - COMMERCIAL,Inside,FIREARM,39.29901,-76.64023,Evening,28
ROBBERY - STREET,Outside,OTHER,39.27884,-76.54266,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.29734,-76.68142,Evening,11
ROBBERY - STREET,Outside,FIREARM,41.57005,-76.59811,Evening,-1
ROBBERY - STREET,Outside,KNIFE,39.30258,-76.61154,Evening,27
ROBBERY - STREET,Outside,FIREARM,39.293,-76.57006,Evening,9
ROBBERY - STREET,Inside,FIREARM,39.29217,-76.58749,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.33076,-76.5432,Evening,11
COMMON ASSAULT,Inside,HANDS,39.28973,-76.60963,Evening,8
ROBBERY - COMMERCIAL,Outside,KNIFE,39.34927,-76.53685,Evening,-1
COMMON ASSAULT,Outside,HANDS,39.29718,-76.66333,Evening,11
AGG. ASSAULT,Outside,OTHER,39.28416,-76.64674,Evening,10
COMMON ASSAULT,Outside,HANDS,39.28654,-76.59449,Evening,11
COMMON ASSAULT,Inside,HANDS,39.33985,-76.66074,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.29621,-76.63088,Night,2
COMMON ASSAULT,Inside,HANDS,39.32737,-76.56543,Night,0
AGG. ASSAULT,Outside,FIREARM,39.32774,-76.65943,Night,-1
ROBBERY - CARJACKING,Outside,FIREARM,39.2939,-76.62131,Night,-1
COMMON ASSAULT,Outside,HANDS,39.27582,-76.61372,Night,26
COMMON ASSAULT,Inside,HANDS,39.27408,-76.62769,Night,0
ROBBERY - STREET,Outside,FIREARM,39.29195,-76.58475,Night,2
COMMON ASSAULT,Inside,HANDS,39.28623,-76.62092,Night,0
ROBBERY - STREET,Outside,OTHER,39.28973,-76.61022,Night,69
ROBBERY - STREET,Outside,FIREARM,39.32084,-76.69837,Night,-1
COMMON ASSAULT,Inside,HANDS,39.3243,-76.60808,Night,0
COMMON ASSAULT,Inside,HANDS,39.33173,-76.66378,Morning,1
COMMON ASSAULT,Inside,HANDS,39.35002,-76.60748,Morning,1
COMMON ASSAULT,Inside,HANDS,39.31943,-76.57076,Morning,1
COMMON ASSAULT,Inside,HANDS,39.34177,-76.65974,Morning,1
RAPE,Outside,OTHER,39.27283,-76.62958,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.30542,-76.59373,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.28093,-76.67228,Afternoon,7
AGG. ASSAULT,Outside,KNIFE,39.28842,-76.59944,Afternoon,29
COMMON ASSAULT,Inside,HANDS,39.34685,-76.67502,Afternoon,7
COMMON ASSAULT,Outside,HANDS,39.30941,-76.62907,Afternoon,5
COMMON ASSAULT,Inside,HANDS,39.2508,-76.63091,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.29768,-76.60184,Afternoon,7
ROBBERY - STREET,Outside,KNIFE,39.29152,-76.56495,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.30725,-76.5996,Afternoon,7
ROBBERY - CARJACKING,Inside,FIREARM,39.35023,-76.60974,Afternoon,-1
AGG. ASSAULT,Outside,HANDS,39.23774,-76.60288,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.28828,-76.57012,Evening,8
COMMON ASSAULT,Inside,HANDS,39.30862,-76.56003,Evening,8
ROBBERY - CARJACKING,Outside,KNIFE,39.29394,-76.62124,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.32601,-76.59357,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.32601,-76.59357,Evening,9
AGG. ASSAULT,Outside,KNIFE,39.31699,-76.63392,Evening,17
ROBBERY - STREET,Outside,FIREARM,39.27984,-76.6241,Evening,9
ROBBERY - COMMERCIAL,Inside,FIREARM,39.26453,-76.65479,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.28162,-76.63794,Evening,9
COMMON ASSAULT,Inside,HANDS,39.31428,-76.68014,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.28162,-76.63794,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.28162,-76.63794,Evening,9
ROBBERY - STREET,Outside,KNIFE,39.29125,-76.56937,Evening,27
COMMON ASSAULT,Inside,HANDS,39.27408,-76.62769,Evening,8
AGG. ASSAULT,Outside,FIREARM,39.23726,-76.6054,Evening,30
AGG. ASSAULT,Inside,OTHER,39.29176,-76.55985,Evening,18
COMMON ASSAULT,Outside,HANDS,39.28792,-76.58717,Evening,11
COMMON ASSAULT,Outside,HANDS,39.28792,-76.58717,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.29098,-76.59315,Evening,9
ROBBERY - STREET,Outside,KNIFE,39.31117,-76.61656,Evening,27
ROBBERY - STREET,Outside,KNIFE,39.31133,-76.61661,Evening,27
COMMON ASSAULT,Outside,HANDS,39.29669,-76.62012,Evening,11
COMMON ASSAULT,Outside,HANDS,39.31529,-76.67307,Evening,11
COMMON ASSAULT,Outside,HANDS,39.32,-76.59553,Evening,11
AGG. ASSAULT,Inside,KNIFE,39.29419,-76.57487,Evening,12
COMMON ASSAULT,Outside,HANDS,39.28954,-76.61533,Evening,11
COMMON ASSAULT,Outside,HANDS,39.29056,-76.64803,Evening,11
COMMON ASSAULT,Outside,HANDS,39.28862,-76.6095,Evening,11
AGG. ASSAULT,Inside,OTHER,39.30432,-76.67226,Evening,18
COMMON ASSAULT,Inside,HANDS,39.29732,-76.58365,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.33782,-76.66144,Evening,9
COMMON ASSAULT,Inside,HANDS,39.31889,-76.5987,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.2898,-76.5732,Evening,9
COMMON ASSAULT,Inside,HANDS,39.28174,-76.61279,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.34495,-76.59712,Night,2
COMMON ASSAULT,Outside,HANDS,39.33639,-76.63794,Night,26
COMMON ASSAULT,Inside,HANDS,39.30727,-76.6299,Night,0
ROBBERY - STREET,Outside,FIREARM,39.32731,-76.60945,Night,2
COMMON ASSAULT,Inside,HANDS,39.28146,-76.59407,Night,0
ROBBERY - STREET,Outside,FIREARM,39.28857,-76.56664,Night,2
COMMON ASSAULT,Outside,HANDS,39.30176,-76.68552,Night,26
AGG. ASSAULT,Inside,HANDS,39.33724,-76.60407,Night,-1
ROBBERY - STREET,Outside,FIREARM,39.28935,-76.61941,Night,2
ROBBERY - STREET,Outside,FIREARM,39.29119,-76.614,Night,2
COMMON ASSAULT,Outside,HANDS,39.28358,-76.53249,Night,26
COMMON ASSAULT,Outside,HANDS,39.33271,-76.6355,Night,26
ROBBERY - STREET,Outside,FIREARM,39.34242,-76.66235,Morning,-1
AGG. ASSAULT,Inside,KNIFE,39.29187,-76.65153,Morning,44
COMMON ASSAULT,Inside,HANDS,39.33431,-76.68187,Morning,1
ROBBERY - STREET,Outside,FIREARM,39.31398,-76.61257,Morning,14
AGG. ASSAULT,Inside,OTHER,39.29491,-76.64127,Morning,15
ROBBERY - STREET,Outside,FIREARM,39.31544,-76.61269,Morning,14
ROBBERY - STREET,Outside,FIREARM,39.31544,-76.61269,Morning,14
COMMON ASSAULT,Outside,HANDS,39.298,-76.62785,Afternoon,5
ROBBERY - STREET,Outside,KNIFE,39.2945,-76.66501,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.298,-76.62785,Afternoon,5
AGG. ASSAULT,Outside,FIREARM,39.3098,-76.57309,Afternoon,31
AGG. ASSAULT,Outside,OTHER,39.25137,-76.61498,Afternoon,-1
AGG. ASSAULT,Inside,KNIFE,39.34405,-76.67684,Afternoon,84
AGG. ASSAULT,Inside,FIREARM,39.33231,-76.66372,Afternoon,-1
AGG. ASSAULT,Inside,FIREARM,39.33231,-76.66372,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.32755,-76.68246,Afternoon,7
ROBBERY - CARJACKING,Outside,FIREARM,39.34445,-76.68562,Afternoon,-1
ROBBERY - COMMERCIAL,Inside,FIREARM,39.296,-76.66504,Afternoon,-1
ROBBERY - STREET,Outside,FIREARM,39.3133,-76.64624,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.27408,-76.62769,Afternoon,7
COMMON ASSAULT,Inside,HANDS,39.35885,-76.67769,Evening,8
COMMON ASSAULT,Outside,HANDS,39.27432,-76.53624,Evening,11
COMMON ASSAULT,Inside,HANDS,39.31946,-76.56268,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.36662,-76.65175,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.26682,-76.64945,Evening,9
COMMON ASSAULT,Inside,HANDS,39.22788,-76.5995,Evening,8
COMMON ASSAULT,Inside,HANDS,39.32923,-76.68887,Evening,8
ROBBERY - CARJACKING,Outside,FIREARM,39.31026,-76.63854,Evening,-1
ROBBERY - COMMERCIAL,Inside,OTHER,39.32829,-76.60928,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.31196,-76.59922,Evening,8
COMMON ASSAULT,Outside,HANDS,39.28154,-76.59068,Afternoon,5
AGG. ASSAULT,Inside,OTHER,39.32829,-76.66149,Afternoon,22
ROBBERY - STREET,Outside,FIREARM,39.3209,-76.67507,Night,2
COMMON ASSAULT,Inside,HANDS,39.31819,-76.57237,Night,0
AGG. ASSAULT,Outside,OTHER,39.32926,-76.66126,Night,-1
RAPE,Outside,OTHER,39.29758,-76.59087,Night,-1
AGG. ASSAULT,Outside,OTHER,39.27355,-76.67137,Night,-1
AGG. ASSAULT,Outside,OTHER,39.27355,-76.67137,Night,-1
COMMON ASSAULT,Inside,HANDS,39.29374,-76.6105,Night,0
ROBBERY - STREET,Outside,FIREARM,39.3156,-76.54097,Night,2
RAPE,Inside,OTHER,39.26157,-76.66657,Morning,-1
ROBBERY - COMMERCIAL,Inside,FIREARM,39.30945,-76.65488,Morning,-1
ROBBERY - COMMERCIAL,Inside,OTHER,39.29309,-76.66154,Morning,-1
COMMON ASSAULT,Inside,HANDS,39.29545,-76.57344,Morning,1
COMMON ASSAULT,Inside,HANDS,39.23014,-76.60376,Morning,1
COMMON ASSAULT,Inside,HANDS,39.28628,-76.61945,Morning,1
COMMON ASSAULT,Inside,HANDS,39.28628,-76.61945,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30803,-76.65257,Morning,1
COMMON ASSAULT,Outside,HANDS,39.31877,-76.59787,Afternoon,5
AGG. ASSAULT,Outside,FIREARM,39.34655,-76.54321,Afternoon,-1
COMMON ASSAULT,Outside,HANDS,39.3005,-76.59778,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.3005,-76.59778,Afternoon,5
AGG. ASSAULT,Outside,KNIFE,39.29818,-76.59994,Afternoon,29
COMMON ASSAULT,Outside,HANDS,39.29818,-76.59994,Afternoon,5
ROBBERY - STREET,Outside,KNIFE,39.29426,-76.58627,Afternoon,-1
AGG. ASSAULT,Outside,FIREARM,39.31601,-76.6564,Afternoon,31
AGG. ASSAULT,Outside,FIREARM,39.31601,-76.6564,Afternoon,31
AGG. ASSAULT,Outside,OTHER,39.2972,-76.6129,Afternoon,16
COMMON ASSAULT,Outside,HANDS,39.29477,-76.64559,Evening,11
AGG. ASSAULT,Outside,OTHER,39.31114,-76.61812,Evening,10
COMMON ASSAULT,Outside,HANDS,39.26273,-76.64069,Evening,11
AGG. ASSAULT,Outside,OTHER,39.34683,-76.69832,Evening,10
ROBBERY - STREET,Inside,FIREARM,39.29451,-76.66302,Evening,-1
AGG. ASSAULT,Outside,OTHER,39.2881,-76.64888,Evening,10
COMMON ASSAULT,Outside,HANDS,39.29407,-76.59062,Evening,11
ROBBERY - STREET,Outside,FIREARM,39.28631,-76.64229,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.35527,-76.67877,Evening,9
ROBBERY - STREET,Outside,FIREARM,39.29656,-76.70887,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.32122,-76.55404,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.30704,-76.64803,Evening,9
COMMON ASSAULT,Inside,HANDS,39.28853,-76.63825,Evening,8
ROBBERY - COMMERCIAL,Inside,FIREARM,39.32448,-76.53918,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.34286,-76.69169,Night,2
AGG. ASSAULT,Outside,FIREARM,39.23385,-76.59812,Night,-1
ROBBERY - STREET,Inside,OTHER,39.29277,-76.62185,Night,-1
COMMON ASSAULT,Outside,HANDS,39.28117,-76.65693,Morning,13
COMMON ASSAULT,Inside,HANDS,39.30802,-76.60064,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30802,-76.60064,Morning,1
COMMON ASSAULT,Outside,HANDS,39.28646,-76.59683,Morning,13
